"","req_tot","repartition_requetes","done","problematic"
"77","AU-ID(24729694100) OR AU-ID(24733917600) OR AU-ID(24741276400) OR AU-ID(24759089500) OR AU-ID(24759122500) OR AU-ID(24764604900) OR AU-ID(24764783600) OR AU-ID(24765596300) OR AU-ID(24765633000) OR AU-ID(24766152700)","Mathis2",0,0
"78","AU-ID(24773855100) OR AU-ID(24823960800) OR AU-ID(24824156300) OR AU-ID(24825155600) OR AU-ID(24830052900) OR AU-ID(24830253700) OR AU-ID(24831974600) OR AU-ID(24832614900) OR AU-ID(24833485700) OR AU-ID(24921362000)","Mathis2",0,0
"79","AU-ID(25031177700) OR AU-ID(25122171800) OR AU-ID(25221616400) OR AU-ID(25225627000) OR AU-ID(25226345000) OR AU-ID(25226384700) OR AU-ID(25227308900) OR AU-ID(25227608500) OR AU-ID(25227842000) OR AU-ID(25228198700)","Mathis2",0,0
"80","AU-ID(25422239000) OR AU-ID(25422318500) OR AU-ID(25422441400) OR AU-ID(25423161800) OR AU-ID(25521610300) OR AU-ID(25522782300) OR AU-ID(25621084000) OR AU-ID(25621229100) OR AU-ID(25622199000) OR AU-ID(25623116100)","Mathis2",0,0
"81","AU-ID(25626724000) OR AU-ID(25630361100) OR AU-ID(25631686900) OR AU-ID(25631760300) OR AU-ID(25632368200) OR AU-ID(25633010300) OR AU-ID(25633172500) OR AU-ID(25635341200) OR AU-ID(25635896200) OR AU-ID(25636347500)","Mathis2",0,0
"82","AU-ID(25638815000) OR AU-ID(25639811900) OR AU-ID(25641477800) OR AU-ID(25645970900) OR AU-ID(25646323600) OR AU-ID(25646558700) OR AU-ID(25646938200) OR AU-ID(25647391700) OR AU-ID(25647951600) OR AU-ID(25648303100)","Mathis2",0,0
"83","AU-ID(25649660100) OR AU-ID(25650097100) OR AU-ID(25651470300) OR AU-ID(25654401700) OR AU-ID(25654501100) OR AU-ID(25654995900) OR AU-ID(25723316800) OR AU-ID(25723557000) OR AU-ID(25723667600) OR AU-ID(25724029300)","Mathis2",0,0
"84","AU-ID(25823682000) OR AU-ID(25824516500) OR AU-ID(25824887600) OR AU-ID(25922927700) OR AU-ID(25925037400) OR AU-ID(25928638600) OR AU-ID(25930351300) OR AU-ID(25931106800) OR AU-ID(25931635000) OR AU-ID(25931934300)","Mathis2",0,0
"85","AU-ID(25936239900) OR AU-ID(25936484400) OR AU-ID(25937281700) OR AU-ID(25937296000) OR AU-ID(25951235500) OR AU-ID(25951247400) OR AU-ID(25951575400) OR AU-ID(25951596900) OR AU-ID(25959069500) OR AU-ID(25959492800)","Mathis2",0,0
"86","AU-ID(25960212000) OR AU-ID(25960662200) OR AU-ID(26022231500) OR AU-ID(26022275600) OR AU-ID(26025978800) OR AU-ID(26026619600) OR AU-ID(26027976600) OR AU-ID(26028226000) OR AU-ID(26029389500) OR AU-ID(26029747400)","Mathis2",0,0
"87","AU-ID(26029943600) OR AU-ID(26030966000) OR AU-ID(26031159300) OR AU-ID(26031616500) OR AU-ID(26032027300) OR AU-ID(26032421200) OR AU-ID(26039012400) OR AU-ID(26039113400) OR AU-ID(26039253500) OR AU-ID(26121187200)","Mathis2",0,0
"88","AU-ID(26221302500) OR AU-ID(26221541200) OR AU-ID(26321669500) OR AU-ID(26322636100) OR AU-ID(26323113200) OR AU-ID(26323202000) OR AU-ID(26323643100) OR AU-ID(26324651100) OR AU-ID(26324658000) OR AU-ID(26324947200)","Mathis2",0,0
"89","AU-ID(26326177800) OR AU-ID(26326603800) OR AU-ID(26326914300) OR AU-ID(26327096900) OR AU-ID(26327176400) OR AU-ID(26421172600) OR AU-ID(26421295100) OR AU-ID(26421347100) OR AU-ID(26421633300) OR AU-ID(26423464000)","Mathis2",0,0
"90","AU-ID(26424675100) OR AU-ID(26425523100) OR AU-ID(26428095300) OR AU-ID(26428384400) OR AU-ID(26428700200) OR AU-ID(26428763400) OR AU-ID(26429848200) OR AU-ID(26431741800) OR AU-ID(26432113800) OR AU-ID(26433045300)","Mathis2",0,0
"91","AU-ID(26434253800) OR AU-ID(26434922300) OR AU-ID(26436359700) OR AU-ID(26531136000) OR AU-ID(26531355100) OR AU-ID(26532146000) OR AU-ID(26533971400) OR AU-ID(26533973200) OR AU-ID(26535636900) OR AU-ID(26535984500)","Mathis2",0,0
"92","AU-ID(26537273500) OR AU-ID(26635024600) OR AU-ID(26635208900) OR AU-ID(26635214900) OR AU-ID(26635250300) OR AU-ID(26635582800) OR AU-ID(26635779300) OR AU-ID(26635860700) OR AU-ID(26636085000) OR AU-ID(26637456900)","Mathis2",0,0
"93","AU-ID(26638251100) OR AU-ID(26639217600) OR AU-ID(26639595800) OR AU-ID(26640267200) OR AU-ID(26642836500) OR AU-ID(26643027000) OR AU-ID(26643180000) OR AU-ID(26643401900) OR AU-ID(26643418800) OR AU-ID(26643440000)","Mathis2",0,0
